vowels,time_s,F1_Hz,F2_Hz,F3_HZ,F4_Hz,F0_Hz
Kazantzidis_old_u_1,0.188878,397.25314,973.3854,2800.726867,3322.194146,195.7909024
Kazantzidis_old_u_2,0.894138,376.35651,1114.729686,2088.922567,3594.269274,147.5123087
Kazantzidis_old_u_3,0.674904,414.065508,1086.828419,2141.922435,3733.941044,222.1412112
Kazantzidis_old_u_4,0.489286,385.707517,1258.37553,2169.165582,3424.289099,189.938717
Kazantzidis_old_u_5,0.241123,455.961624,1057.25588,2261.279088,3246.238204,278.2791559
Kazantzidis_old_u_6,0.371735,387.955757,1041.696852,2288.939755,3433.942456,165.4405063
Kazantzidis_old_u_7,0.280306,408.282012,1812.44199,2090.329255,3322.880841,208.1172638
Kazantzidis_old_u_8,0.201939,424.258401,941.508175,2125.150685,3446.586088,161.1748132
Kazantzidis_old_u_9,0.766332,410.812698,1208.430184,2646.305972,3513.2738,279.2606117
Kazantzidis_old_u_10,0.502302,349.598815,1420.695631,2173.201016,3344.30875,195.2986561
Kazantzidis_old_u_11,0.933322,394.534901,1123.141872,2203.616129,3409.977678,171.8353502
Kazantzidis_old_w_1,0.215,540.4813,1445.979328,2429.129084,3125.243948,178.9572104
Kazantzidis_old_w_2,0.371735,602.508663,1309.403303,2432.031081,3392.69974,293.2126965
Kazantzidis_old_w_3,0.42398,668.456369,1365.783108,2347.024755,3666.900823,328.9921679
Kazantzidis_old_w_4,0.42398,564.625565,1302.608931,2451.414591,3578.961681,269.7362789
Kazantzidis_old_w_5,0.397857,525.437715,1240.262965,2559.25186,3370.847723,224.7858095
Kazantzidis_old_w_6,0.228061,446.319061,997.732929,2373.680252,3041.655457,162.3021735
Kazantzidis_old_w_7,0.437041,547.001775,1052.390031,2499.920757,3216.677341,176.8943945
Kazantzidis_old_w_8,0.228061,501.862094,890.613128,2480.803034,3224.502042,164.0411407
Kazantzidis_old_w_9,0.463163,594.839875,1321.286695,2571.053851,3579.991912,273.9945408
Kazantzidis_old_w_10,0.345612,644.162882,853.578622,2349.221616,3118.32973,197.0333779
Kazantzidis_old_w_11,0.766332,569.045317,1328.172683,3119.021052,3670.869005,169.6769425
Kazantzidis_old_w_12,0.53123,508.058544,1131.46563,2591.642544,3115.829284,152.2362338
Kazantzidis_old_w_13,0.896944,549.743593,1341.41474,3110.124237,3559.622206,169.3516
Keti Grei_a_1,0.463163,997.772778,1635.120952,1748.909816,3242.144595,268.3041787
Keti Grei_a_10,0.674904,826.177115,1562.617179,1984.360414,3216.480112,345.8741717
Keti Grei_a_11,0.886689,852.34856,1508.621732,2743.296106,3086.805776,291.600867
Keti Grei_a_12,0.42398,830.519281,1487.870477,3164.656172,4033.50804,280.6534474
Keti Grei_a_13,0.63572,915.830606,1603.280542,3239.1111,4190.383023,394.7156848
Keti Grei_a_14,0.648781,684.957717,1452.994116,3086.846475,3726.976835,227.2820917
Keti Grei_a_15,0.87924,917.548246,1643.549359,3155.634979,3853.936114,453.3481876
